,count,mean,std,min,25%,50%,75%,max
utility_textrank,30.0,3.5,0.861,2.0,3.0,4.0,4.0,5.0
utility_lexrank,30.0,2.967,0.964,1.0,2.0,3.0,4.0,5.0
utility_opinosis,30.0,2.8,1.297,1.0,2.0,3.0,3.75,5.0
utility_human_1,30.0,4.433,0.679,3.0,4.0,5.0,5.0,5.0
utility_human_2,30.0,3.367,1.066,1.0,3.0,4.0,4.0,5.0
utility_human_3,30.0,3.367,0.85,1.0,3.0,3.0,4.0,5.0
utility_human_4,30.0,3.833,0.747,2.0,3.0,4.0,4.0,5.0
utility_wordcloud,30.0,3.267,1.202,1.0,2.0,3.0,4.0,5.0
utility_sentiment,30.0,3.667,1.155,1.0,3.0,4.0,4.0,5.0
